Ref,Qnty,Value,Cmp name,Vendor,Footprint,Description,Vendor
"C1, ",1,10u,C,144-2510,Capacitor_SMD:C_1206_3216Metric,,
"C2, C9, C11, C3, C5, C13, ",6,100n,C,391-214,Capacitor_SMD:C_1206_3216Metric,,
"C4, C6, ",2,220u,CP,766-0066,Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm,,
"C7, ",1,1u,CP,903-8792,Capacitor_SMD:C_1206_3216Metric,,
"C8, ",1,47u,CP,916-2920,Capacitor_SMD:C_1206_3216Metric,,
"C10, C12, C14, ",3,1n,C,766-1116 ,Capacitor_SMD:C_1206_3216Metric,,
"D1, D2, D4, D6, D8, D3, D5, D7, D9, ",9,LED,LED,466-3908,LED_SMD:LED_1206_3216Metric,,
"F1, ",1,Fuse,Fuse,"176-9047
789-7808",Fuse:Fuseholder_Schurter-5x20mm,Fuse,
"H3, H1, H4, H2, ",4,MountingHole_Pad,MountingHole_Pad, –,MountingHole:MountingHole_2.5mm_Pad,Mounting Hole with connection,
"J2, ",1,Conn_XT60M,Conn_XT60M,180-5372,XT60:XT60UPB-M,,
"J7, J6, J5, J3, J4, J10, J15, J11, J13, J16, J18, J12, J14, J17, J19, ",15,Conn_XT30F,Conn_XT30F,Aliexpress,XT30:AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,,
"J8, J9, ",2,Conn_01x04,Conn_01x04,,Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,,
"Q1, Q3, Q5, Q7, Q2, Q4, Q6, Q8, ",8,BTS117,BTS117,110-7758,Package_TO_SOT_THT:TO-220-3_Vertical,Smart Low Side Power Switch,
"R1, R10, R12, R8, ",4,91k,R,866-2996,Resistor_SMD:R_1206_3216Metric,,
"R2, ",1,18k,R,679-1831,Resistor_SMD:R_1206_3216Metric,,
"R3, ",1,10k,R,125-1192,Resistor_SMD:R_1206_3216Metric,,
"R4, ",1,470,R,807-1246,Resistor_SMD:R_1206_3216Metric,,
"R6, R5, ",2,4.7k,R,125-1191,Resistor_SMD:R_1206_3216Metric,,
"R9, R11, R7, ",3,47k,R,807-1249,Resistor_SMD:R_1206_3216Metric,,
"R13, R15, R17, R19, R14, R16, R18, R20, ",8,R,R,,Resistor_SMD:R_1206_3216Metric,,
"U1, ",1,DSPIC33FJ128MC802-xSP,DSPIC33FJ128MC802-xSP,666-8362,Package_DIP:DIP-28_W7.62mm,,
"U2, ",1,TSR_2-2450,TSR_2-2450,906-8487,Convert_DCDC:Converter_DCDC_TRACO_TSR-2_THT,,
"U3, ",1,MCP1804x-3302xDB,MCP1804x-3302xDB,823-4396,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,
"U4, U5, ",2,ACS712xLCTR-05B,ACS712xLCTR-05B,680-7131,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"±5A Bidirectional Hall-Effect Current Sensor, +5.0V supply, 185mV/A, SOIC-8",
"U6, ",1,ACS712xLCTR-20A,ACS712xLCTR-20A,680-7135,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,"±20A Bidirectional Hall-Effect Current Sensor, +5.0V supply, 100mV/A, SOIC-8",
